City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,saladas,-28.2538,-58.6259,28.57,58,21,3.6,AR,1704673328
290,menongue,-14.6585,17.691,16.99,95,46,1.77,AO,1704673329
291,lushun,38.8,121.2667,-7.88,55,9,5.78,CN,1704673329
292,tarawa,1.419,172.984,28.63,76,100,5.89,KI,1704673329
293,weno,7.4515,151.8468,30.97,62,20,4.63,FM,1704673329
294,faya-largeau,17.9257,19.1043,19.36,14,5,6.24,TD,1704673329
295,isla vista,34.4133,-119.861,15.94,39,0,6.17,US,1704673329
296,wenling,28.3669,121.36,6.99,66,94,1.92,CN,1704673330
297,coahuayana de hidalgo,18.7,-103.6583,25.33,71,98,1.12,MX,1704673330
298,lompoc,34.6391,-120.4579,13.85,52,0,8.23,US,1704673330
299,kristinestad,62.2743,21.376,-3.83,89,72,4.91,FI,1704673330
300,codrington,-38.2667,141.9667,16.59,92,100,7.35,AU,1704673330
301,uturoa,-16.7333,-151.4333,27.43,76,62,3.88,PF,1704673330
302,skrunda,56.6833,22.0167,-13.3,76,0,1.3,LV,1704673330
303,humaita,-7.5061,-63.0208,26.01,82,23,0.54,BR,1704673331
304,nagqu,31.5,92.0,-16.64,57,0,1.76,CN,1704673331
305,nova sintra,14.8667,-24.7167,21.76,71,1,5.23,CV,1704673331
306,inongo,-1.95,18.2667,23.1,85,93,2.36,CD,1704673331
307,acajutla,13.5928,-89.8275,26.11,73,63,0.87,SV,1704673331
308,iquique,-20.2208,-70.1431,21.02,81,85,2.03,CL,1704673242
309,vico del gargano,41.8983,15.9576,6.7,83,100,1.96,IT,1704673332
310,huarmey,-10.0681,-78.1522,23.11,82,87,3.65,PE,1704673332
311,ankang,32.68,109.0172,5.77,76,98,0.83,CN,1704673332
312,hami,42.8,93.45,-7.92,74,59,1.53,CN,1704673332
313,kailua-kona,19.6406,-155.9956,26.98,76,40,4.12,US,1704673308
314,istaravshan,39.9142,69.0033,5.0,91,100,2.26,TJ,1704673332
315,acarau,-2.8856,-40.12,27.3,76,100,6.26,BR,1704673332
316,jieshi,22.8134,115.8257,14.91,79,83,9.41,CN,1704673332
317,shushenskoye,53.325,91.9356,-18.97,100,95,0.12,RU,1704673333
318,shimanovsk,52.0,127.7,-24.92,94,100,1.93,RU,1704673333
319,manokwari,-0.8667,134.0833,27.64,71,99,0.13,ID,1704673333
320,serdar,38.9764,56.2757,7.43,47,5,2.47,TM,1704673333
321,mersing,2.4312,103.8405,22.95,100,20,1.54,MY,1704673333
322,watford city,47.8022,-103.2832,-5.08,100,100,3.6,US,1704673203
323,andergrove,-21.0833,149.1833,29.8,75,100,3.83,AU,1704673333
324,kiama,-34.6833,150.8667,23.54,91,98,3.58,AU,1704673333
325,cabedelo,-6.9811,-34.8339,26.37,76,0,3.5,BR,1704673334
326,leticia,-4.2153,-69.9406,25.03,100,20,1.54,CO,1704673334
327,bontang,0.1333,117.5,25.62,87,100,3.03,ID,1704673334
328,sabzevar,36.2126,57.6819,3.83,46,0,0.81,IR,1704673334
329,elverum,60.8819,11.5623,-23.65,99,44,1.2,NO,1704673334
330,lamu,-2.2717,40.902,26.12,80,5,5.87,KE,1704673335
331,santa isabel,-23.3156,-46.2214,24.42,84,86,0.68,BR,1704673335
332,toamasina,-18.1667,49.3833,26.0,94,75,3.09,MG,1704673336
333,kudymkar,59.0173,54.656,-22.24,96,100,3.98,RU,1704673336
334,sandnessjoen,66.0217,12.6316,1.29,72,100,6.31,NO,1704673336
335,moab,38.5733,-109.5498,0.03,90,100,2.73,US,1704673336
336,mao,39.8885,4.2658,10.31,50,40,7.72,ES,1704673337
337,haiku-pauwela,20.9219,-156.3051,28.01,51,20,6.69,US,1704673338
338,kruisfontein,-34.0033,24.7314,17.71,87,100,3.0,ZA,1704673338
339,al bawiti,28.3492,28.8659,14.17,29,0,3.09,EG,1704673338
340,byron bay,-28.65,153.6167,27.62,76,97,3.49,AU,1704673338
341,antofagasta,-23.65,-70.4,20.6,79,34,2.77,CL,1704672963
342,boende,-0.2167,20.8667,22.36,87,76,1.0,CD,1704673338
343,surbo,40.3994,18.1331,12.79,87,0,3.09,IT,1704673339
344,mugia,43.1041,-9.2179,3.84,69,78,4.51,ES,1704673340
345,ghadamis,30.1337,9.5007,10.17,40,95,2.79,LY,1704673340
346,horta,38.5333,-28.6333,15.01,78,69,4.02,PT,1704673340
347,dashtobod,40.1269,68.4944,8.61,84,100,1.75,UZ,1704673340
348,wajir,1.7471,40.0573,26.2,52,6,6.07,KE,1704673340
349,nadym,65.5333,72.5167,-20.3,95,100,2.97,RU,1704673341
350,arfoud,31.4348,-4.2375,9.42,40,10,0.79,MA,1704673341
351,shubarshi,48.5872,57.1869,-7.43,83,68,4.59,KZ,1704673341
352,tazacorte,28.629,-17.9293,18.42,90,0,3.09,ES,1704673341
353,bichura,50.5881,107.6022,-17.42,97,81,1.48,RU,1704673341
354,taounate,34.5,-4.8333,8.93,62,25,0.29,MA,1704673341
355,hammerfest,70.6634,23.6821,-2.75,86,75,4.63,NO,1704673341
356,mitsamiouli,-11.3847,43.2844,27.47,74,34,1.54,KM,1704673342
357,kanye,-24.9667,25.3327,20.64,60,87,3.36,BW,1704673342
358,namtsy,62.7161,129.6658,-49.39,100,88,1.14,RU,1704673342
359,moyynkum,44.2914,72.9469,6.15,84,98,5.69,KZ,1704673342
360,saskatoon,52.1168,-106.6345,-17.79,77,100,5.14,CA,1704673222
361,al ghayzah,16.2079,52.176,19.46,33,19,6.4,YE,1704673342
362,santa rosalia,27.3167,-112.2833,18.63,37,5,8.8,MX,1704673343
363,siluko,6.5386,5.1609,24.79,99,5,0.85,NG,1704673343
364,flying fish cove,-10.4217,105.6791,25.82,94,100,2.57,CX,1704673343
365,cooma,-36.2333,149.1333,21.02,95,100,2.76,AU,1704673343
366,togur,58.3631,82.8265,-21.72,100,97,4.17,RU,1704673343
367,talbahat,25.05,78.4333,11.34,90,39,2.27,IN,1704673343
368,wailua homesteads,22.0669,-159.378,27.24,74,75,7.72,US,1704673343
369,tucacas,10.7906,-68.3258,25.83,86,83,4.66,VE,1704673343
370,andovoranto,-18.95,49.1,25.33,88,98,2.11,MG,1704673344
371,inderbor,48.55,51.7833,-9.03,69,50,6.03,KZ,1704673344
372,dudinka,69.4058,86.1778,-21.85,98,100,8.05,RU,1704673344
373,sona,45.4388,10.8255,7.91,95,75,1.54,IT,1704673344
374,ola,59.5833,151.2833,-31.8,89,19,3.08,RU,1704673344
375,suwayr,30.1171,40.3893,10.52,63,4,3.12,SA,1704673344
376,kimbe,-5.5502,150.1429,31.02,65,73,1.11,PG,1704673344
377,kasamwa,-2.85,32.4333,18.12,92,97,0.97,TZ,1704673344
378,mastic beach,40.7668,-72.8521,2.21,89,100,4.12,US,1704673344
379,chonchi,-42.6128,-73.8092,14.56,87,52,1.94,CL,1704673344
380,calbuco,-41.768,-73.1273,15.56,74,88,3.77,CL,1704673345
381,slave lake,55.2834,-114.769,-18.01,71,100,0.0,CA,1704673345
382,swift current,50.2834,-107.8014,-14.55,85,75,3.09,CA,1704673345
383,arkhangel'sk,64.5401,40.5433,-11.04,92,100,5.0,RU,1704673345
384,kisangani,0.5167,25.2,21.21,61,40,1.0,CD,1704673345
